CarID: 124 | Year: 2015 | Make: Jeep | Model: Wrangler | Rated-score 6
CarID: 98 | Year: 2012 | Make: Mercedes | Model: C63 | Rated-score 4
CarID: 91 | Year: 2010 | Make: Mitsu | Model: Lancer | Rated-score 4
CarID: 9 | Year: 1996 | Make: Nissan | Model: 240 | Rated-score 4
CarID: 84 | Year: 2012 | Make: Mercedes | Model: Cl63amg | Rated-score 4
CarID: 83 | Year: 2014 | Make: Honda | Model: Accord | Rated-score 4
CarID: 65 | Year: 2009 | Make: Honda | Model: Fit | Rated-score 4
CarID: 63 | Year: 2010 | Make: Honda | Model: Civic | Rated-score 4
CarID: 57 | Year: 2015 | Make: Scion | Model: Frs | Rated-score 4
CarID: 36 | Year: 2016 | Make: Subaru | Model: WRX | Rated-score 4
CarID: 33 | Year: 2015 | Make: Subaru | Model: Sti | Rated-score 4
CarID: 31 | Year: 2007 | Make: Honda | Model: Fit | Rated-score 4
CarID: 228 | Year: 2010 | Make: Nissan | Model: 370 | Rated-score 4
CarID: 218 | Year: 2010 | Make: Chevy | Model: Camaro | Rated-score 4
CarID: 216 | Year: 2007 | Make: Chrystler | Model: 300 | Rated-score 4
CarID: 180 | Year: 2011 | Make: Volkswagen | Model: Gti | Rated-score 4
CarID: 179 | Year: 2004 | Make: Volkswagen | Model: R32 | Rated-score 4
CarID: 175 | Year: 2006 | Make: Honda | Model: Civic | Rated-score 4
CarID: 15 | Year: 2014 | Make: Audi | Model: S4 | Rated-score 4
CarID: 142 | Year: 1993 | Make: Toyota | Model: Supra | Rated-score 4
CarID: 128 | Year: 2010 | Make: Infiniti | Model: G37 | Rated-score 4
CarID: 127 | Year: 2013 | Make: Acura | Model: Tsx | Rated-score 4
CarID: 123 | Year: 2006 | Make: Lexus | Model: Sc430 | Rated-score 4
CarID: 112 | Year: 2008 | Make: Acura | Model: TL | Rated-score 4
CarID: 88 | Year: 2008 | Make: Honda | Model: Accord | Rated-score 2
CarID: 8 | Year: 1991 | Make: Nissan | Model: Skyline | Rated-score 2
CarID: 75 | Year: 2012 | Make: Subaru | Model: WRX | Rated-score 2
CarID: 59 | Year: 2012 | Make: Volkswagen | Model: Golf | Rated-score 2
CarID: 53 | Year: 2013 | Make: Subaru | Model: WRX | Rated-score 2
CarID: 51 | Year: 2015 | Make: Subaru | Model: WRX | Rated-score 2
CarID: 50 | Year: 2015 | Make: Acura | Model: TLX | Rated-score 2
CarID: 5 | Year: 2003 | Make: Acura | Model: Rsx | Rated-score 2
CarID: 49 | Year: 1997 | Make: Acura | Model: Integra | Rated-score 2
CarID: 46 | Year: 2008 | Make: Volkswagen | Model: R32 | Rated-score 2
CarID: 45 | Year: 2006 | Make: Acura | Model: TL | Rated-score 2
CarID: 4341 | Year: 1992 | Make: Nissan | Model: Rps13 | Rated-score 2
CarID: 41 | Year: 2012 | Make: Acura | Model: Tsx | Rated-score 2
CarID: 4 | Year: 2007 | Make: Honda | Model: Civic | Rated-score 2
CarID: 39 | Year: 2011 | Make: Honda | Model: Civic | Rated-score 2
CarID: 37 | Year: 2015 | Make: Subaru | Model: Sti | Rated-score 2
CarID: 35 | Year: 2016 | Make: Honda | Model: Civic | Rated-score 2
CarID: 30 | Year: 2012 | Make: Hyundai | Model: Celoster | Rated-score 2
CarID: 3 | Year: 2011 | Make: Nissan | Model: 370 | Rated-score 2
CarID: 235 | Year: 2013 | Make: Scion | Model: Frs | Rated-score 2
CarID: 232 | Year: 2018 | Make: Subaru | Model: WRX | Rated-score 2
CarID: 211 | Year: 2004 | Make: Acura | Model: Tsx | Rated-score 2
CarID: 21 | Year: 2009 | Make: Subaru | Model: WRX | Rated-score 2
CarID: 20 | Year: 2009 | Make: Infiniti | Model: G37 | Rated-score 2
CarID: 2 | Year: 2016 | Make: Bmw | Model: M2 | Rated-score 2
CarID: 187 | Year: 2007 | Make: Subaru | Model: Legacy | Rated-score 2
CarID: 186 | Year: 2012 | Make: Volkswagen | Model: Gli | Rated-score 2
CarID: 184 | Year: 2010 | Make: Volkswagen | Model: Cc | Rated-score 2
CarID: 183 | Year: 2005 | Make: Volkswagen | Model: Jetta | Rated-score 2
CarID: 181 | Year: 2003 | Make: Volkswagen | Model: Gti | Rated-score 2
CarID: 178 | Year: 2009 | Make: Honda | Model: Oddesy | Rated-score 2
CarID: 176 | Year: 2014 | Make: Mitsu | Model: Lancer | Rated-score 2
CarID: 174 | Year: 2006 | Make: Acura | Model: Rsx | Rated-score 2
CarID: 17 | Year: 2016 | Make: Mercedes | Model: C43 | Rated-score 2
CarID: 167 | Year: 2016 | Make: Ford | Model: Mystang | Rated-score 2
CarID: 163 | Year: 2013 | Make: Mitsu | Model: Ralliart | Rated-score 2
CarID: 162 | Year: 2014 | Make: Nissan | Model: 370z | Rated-score 2
CarID: 161 | Year: 2012 | Make: Nissan | Model: 370z | Rated-score 2
CarID: 153 | Year: 2017 | Make: Subaru | Model: Brz | Rated-score 2
CarID: 150 | Year: 2006 | Make: Nissan | Model: 350z | Rated-score 2
CarID: 145 | Year: 1990 | Make: Volkswagen | Model: Gti | Rated-score 2
CarID: 140 | Year: 1995 | Make: Mitsu | Model: Evo8 | Rated-score 2
CarID: 134 | Year: 2013 | Make: Subaru | Model: WRX | Rated-score 2
CarID: 126 | Year: 2010 | Make: Volkswagen | Model: Eos | Rated-score 2
CarID: 122 | Year: 2011 | Make: Infiniti | Model: M37s | Rated-score 2
CarID: 12 | Year: 1990 | Make: Nissan | Model: 240 | Rated-score 2
CarID: 118 | Year: 1993 | Make: Honda | Model: Civic | Rated-score 2
CarID: 116 | Year: 2008 | Make: Audi | Model: A4 | Rated-score 2
CarID: 115 | Year: 2001 | Make: Honda | Model: Crv | Rated-score 2
